Table 10 - Pupils in Membership by Race and Sex,,,,,,,,,,,,,,,,,
Year 2014,,,,,,,,,,,,,,,,,
Year,LEA,____LEA Name____,,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,,Total,,,,,,
2014,10,Alamance-Burlington Schools,,"2,657","2,600","2,462","2,297","5,897","5,423",,"22,615",,,,,,
2014,20,Alexander County Schools,,213,212,107,100,"2,232","2,121",,"5,290",,,,,,
2014,30,Alleghany County Schools,,154,147,8,3,551,572,,"1,471",,,,,,
2014,40,Anson County Schools,,57,66,"1,030","1,046",623,620,,"3,602",,,,,,
2014,50,Ashe County Schools,,165,133,9,7,"1,411","1,372",,"3,174",,,,,,
2014,60,Avery County Schools,,108,109,3,3,934,941,,"2,155",,,,,,
2014,70,Beaufort County Schools,,495,492,"1,201","1,118","1,799","1,638",,"7,030",,,,,,
2014,80,Bertie County Schools,,26,27,"1,075","1,049",208,187,,"2,632",,,,,,
2014,90,Bladen County Schools,,374,359,947,898,975,895,,"4,725",,,,,,
2014,100,Brunswick County Schools,,697,696,"1,005",932,"4,365","4,033",,"12,470",,,,,,
2014,110,Buncombe County Schools,,"1,758","1,705",840,813,"9,703","9,067",,"25,530",,,,,,
2014,111,Asheville City Schools,,135,161,511,484,"1,317","1,257",,"4,230",,,,,,
2014,120,Burke County Schools,,737,703,362,299,"4,826","4,448",,"12,810",,,,,,
2014,130,Cabarrus County Schools,,"2,131","2,097","2,881","2,870","9,315","8,638",,"30,093",,,,,,
2014,132,Kannapolis City Schools,,692,636,781,710,"1,030","1,031",,"5,310",,,,,,
2014,140,Caldwell County Schools,,574,494,334,339,"4,985","4,853",,"12,171",,,,,,
2014,150,Camden County Schools,,21,25,129,99,794,717,,"1,903",,,,,,
2014,160,Carteret County Schools,,323,290,304,269,"3,439","3,216",,"8,428",,,,,,
2014,170,Caswell County Schools,,91,80,493,496,812,660,,"2,748",,,,,,
2014,180,Catawba County Schools,,"1,143","1,123",454,439,"6,092","5,719",,"16,882",,,,,,
2014,181,Hickory City Schools,,469,422,500,431,"1,024",975,,"4,281",,,,,,
2014,182,Newton-Conover City Schools,,367,355,248,190,802,767,,"3,076",,,,,,
2014,190,Chatham County Schools,,"1,245","1,157",503,498,"2,244","2,131",,"8,229",,,,,,
2014,200,Cherokee County Schools,,72,73,26,25,"1,588","1,394",,"3,328",,,,,,
2014,210,Edenton-Chowan County Schools,,51,60,482,486,550,507,,"2,225",,,,,,
2014,220,Clay County Schools,,35,24,8,2,636,589,,"1,319",,,,,,
2014,230,Cleveland County Schools,,385,361,"1,972","1,950","5,085","4,560",,"15,138",,,,,,
2014,240,Columbus County Schools,,281,250,944,968,"1,646","1,574",,"6,119",,,,,,
2014,241,Whiteville City Schools,,89,106,504,472,480,469,,"2,262",,,,,,
2014,250,Craven County Schools,,627,650,"2,133","2,109","3,909","3,652",,"14,449",,,,,,
2014,260,Cumberland County Schools,,"3,000","2,860","11,873","11,341","8,670","7,926",,"51,471",,,,,,
2014,270,Currituck County Schools,,77,98,118,105,"1,560","1,555",,"3,904",,,,,,
2014,280,Dare County Schools,,317,311,64,73,"2,042","1,982",,"5,023",,,,,,
2014,290,Davidson County Schools,,737,642,349,290,"8,841","8,282",,"19,897",,,,,,
2014,291,Lexington City Schools,,499,481,469,471,402,371,,"3,064",,,,,,
2014,292,Thomasville City Schools,,336,358,439,429,288,293,,"2,341",,,,,,
2014,300,Davie County Schools,,395,401,173,178,"2,607","2,335",,"6,404",,,,,,
2014,310,Duplin County Schools,,"1,922","1,666","1,178","1,147","1,737","1,652",,"9,647",,,,,,
2014,320,Durham County Schools,,"4,268","4,172","8,287","8,260","3,244","3,025",,"33,349",,,,,,
2014,330,Edgecombe County Schools,,321,264,"1,801","1,759",960,875,,"6,116",,,,,,
2014,340,Forsyth County Schools,,"6,033","5,831","7,922","7,366","11,684","10,975",,"53,413",,,,,,
2014,350,Franklin County Schools,,662,637,"1,370","1,356","2,279","2,031",,"8,688",,,,,,
2014,360,Gaston County Schools,,"1,614","1,514","3,286","3,123","10,304","9,646",,"31,268",,,,,,
2014,370,Gates County Schools,,13,15,303,294,517,452,,"1,660",,,,,,
2014,380,Graham County Schools,,19,15,3,0,505,457,,"1,188",,,,,,
2014,390,Granville County Schools,,552,541,"1,421","1,279","2,103","1,834",,"8,153",,,,,,
2014,400,Greene County Schools,,473,429,604,611,501,465,,"3,151",,,,,,
2014,410,Guilford County Schools,,"4,625","4,475","14,881","14,735","13,472","12,528",,"72,112",,,,,,
2014,420,Halifax County Schools,,41,53,"1,407","1,338",90,64,,"3,250",,,,,,
2014,421,Roanoke Rapids City Schools,,59,62,356,365,"1,025",936,,"2,985",,,,,,
2014,422,Weldon City Schools,,2,4,494,490,12,15,,"1,039",,,,,,
2014,430,Harnett County Schools,,"1,847","1,816","2,564","2,386","5,201","4,880",,"20,243",,,,,,
2014,440,Haywood County Schools,,263,245,41,44,"3,526","3,057",,"7,433",,,,,,
