County,avg_2013,free_2013,Percent_2013,avg_2014,FREE_2014,Percent_2014,avg_2015,Free_2015,Percent_2015,avg_2016,Free_2016,Percent_2016,avg_2017,Free_2017,Percent_2017
Alamance,22237,11331,50.9556145,22507,12011,53.3656196,22604,12364,54.69828349,22600,11243,49.74778761,22571,12726,56.3820832
Alexander,5320,2431,45.6954887,5243,2422,46.1949266,5120,2354,45.9765625,4943,2279,46.10560388,4879,2307,47.28427957
Alleghany ,1392,812,58.3333333,1433,828,57.7808793,1387,695,50.10814708,1376,807,58.64825581,1342,843,62.81669151
Anson ,3610,2588,71.6897507,3566,2633,73.8362311,3490,2568,73.58166189,3415,2250,65.88579795,3318,3207,96.65461121
Ashe ,3167,1603,50.6157247,3145,1689,53.7042925,3096,1644,53.10077519,3066,1586,51.72863666,2981,1493,50.08386448
Avery ,2134,1102,51.6401125,1857,1095,58.9660743,1826,1098,60.13143483,1825,1087,59.56164384,1772,1006,56.77200903
Beaufort ,6980,4253,60.9312321,6968,4256,61.0792193,6937,4235,61.04944501,6836,4098,59.94733762,6673,4919,73.71497078
Bertie ,2619,2088,79.7250859,2418,2113,87.3862696,2258,1771,78.43224092,2159,1771,82.028717,2034,2030,99.80334317
Bladen ,4910,3588,73.0753564,4686,3380,72.1297482,4670,2783,59.59314775,4630,2855,61.66306695,4508,4489,99.57852706
Brunswick ,12201,6616,54.2250635,12416,7006,56.4271907,12332,6206,50.32435939,12369,6741,54.4991511,12409,6821,54.96816826
Buncombe ,25370,12151,47.8951518,25280,12260,48.4968354,24700,11873,48.06882591,24251,11860,48.90519979,24091,11523,47.83114026
Burke ,12784,7001,54.7637672,12746,6950,54.5269104,12504,5503,44.00991683,12360,6779,54.84627832,12113,6621,54.66028234
Cabarrus,29721,11030,37.1118065,29977,11447,38.1859426,30630,11917,38.90630101,31260,12163,38.90914907,31876,11777,36.94629188
Caldwell,12224,6275,51.3334424,12060,6360,52.7363184,11301,6025,53.31386603,11964,6162,51.50451354,11666,6319,54.16595234
Camden ,1898,562,29.6101159,1888,500,26.4830508,1863,472,25.33548041,1800,441,24.5,1835,423,23.05177112
Carteret,8391,3046,36.3007985,8318,3272,39.3363789,8297,3291,39.66493913,8246,3370,40.86829978,8125,3260,40.12307692
Caswell ,2777,1712,61.6492618,2728,1705,62.5,2716,1574,57.95287187,2689,1610,59.87355894,2618,1968,75.17188694
Catawba ,16984,7475,44.0120113,16691,7568,45.341801,16579,7324,44.17636769,16333,7310,44.75601543,16302,7265,44.56508404
Chatham ,8073,3800,47.0704819,8195,3950,48.200122,8330,3936,47.25090036,8436,4037,47.85443338,8636,4086,47.3135711
Cherokee ,3326,2063,62.0264582,3306,1919,58.045977,3271,1777,54.32589422,3329,1799,54.04025233,3263,2581,79.09898866
Chowan ,2220,1311,59.0540541,2211,1328,60.0633198,2176,1262,57.99632353,2049,1149,56.0761347,2023,1201,59.36727632
Clay ,1309,687,52.4828113,1315,666,50.6463878,1278,647,50.62597809,1302,661,50.76804916,1307,645,49.3496557
Cleveland ,15329,8800,57.4075282,15046,9139,60.7403961,15010,9129,60.8194537,14906,9216,61.82745203,14662,10231,69.7790206
Columbus ,6259,4121,65.8411887,6071,4313,71.0426618,5960,3803,63.80872483,5883,3633,61.75420704,5685,5685,100
Craven ,14581,6888,47.2395583,13931,6871,49.3216567,13693,6608,48.25823413,13585,6726,49.51048951,13455,6790,50.46451133
Cumberland ,51189,26597,51.9584286,50714,27355,53.9397405,49860,27982,56.12113919,49528,26557,53.62017445,49593,32837,66.21297361
Currituck ,3816,1173,30.7389937,3872,1223,31.5857438,3853,1192,30.93693226,3966,1210,30.5093293,3969,1207,30.41068279
Dare ,4883,1880,38.5009216,4960,1801,36.3104839,4921,1797,36.5169681,4944,1781,36.02346278,4989,1831,36.70074163
Davidson ,19831,8192,41.3090616,19785,8048,40.6772808,19459,8067,41.4563955,19166,7810,40.74924345,18956,7630,40.25110783
Davie ,6429,2559,39.8040131,6370,2547,39.9843014,6295,2506,39.80937252,6265,2672,42.64964086,6183,2559,41.38767589
Duplin ,9315,6309,67.7294686,9597,6670,69.5008857,9703,6786,69.93713285,9690,6887,71.07327141,9542,9000,94.31984909
Durham ,32263,19486,60.3973592,32963,20066,60.8743136,33160,19075,57.52412545,32954,19139,58.07792681,32719,20081,61.37412513
Edgecombe ,6599,4792,72.6170632,6044,4596,76.0423561,5854,3781,64.58831568,5953,3839,64.4884932,5944,5818,97.88021534
Forsyth ,52761,26993,51.1608954,52868,27519,52.0522812,53336,25563,47.92822859,53625,25582,47.70536131,53822,31366,58.27728438
Franklin ,8549,4630,54.1583811,8491,5055,59.5336238,8416,4465,53.05370722,8228,4294,52.18765192,8097,5541,68.43275287
Gaston ,30977,16941,54.6889628,31122,17306,55.6069661,31182,16057,51.49445193,31285,15819,50.56416813,31266,19391,62.01944604
Gates ,1718,784,45.6344587,1650,747,45.2727273,1633,749,45.86650337,1612,744,46.15384615,1590,775,48.74213836
Graham ,1183,646,54.6069315,1182,686,58.037225,1185,690,58.2278481,1152,629,54.60069444,1169,691,59.11035073
Granville ,8479,4211,49.6638755,8100,4018,49.6049383,7988,4213,52.74161242,7868,4155,52.80884596,7667,4316,56.29320464
Greene ,3147,2254,71.6237687,3148,2327,73.9199492,3134,2303,73.48436503,3141,2384,75.8993951,3091,3091,100
Guilford ,71885,37544,52.2278639,71658,39703,55.4062352,71374,35285,49.43676969,71310,35435,49.69148787,71081,43876,61.72676243
Halifax ,3406,2971,87.2284204,3206,2862,89.2701185,2939,2455,83.53181354,2732,2151,78.73352855,2566,2539,98.94777864
Harnett ,20065,9978,49.7283828,20085,10096,50.2663679,20099,10229,50.89307926,20252,10430,51.50108631,20357,11066,54.35967972
Haywood ,7459,3583,48.0359297,7421,3619,48.7670125,7280,3629,49.8489011,7134,3534,49.53742641,7083,3634,51.30594381
Henderson ,13316,6321,47.46921,13446,6376,47.4193069,13537,6400,47.27783113,13506,6286,46.54227751,13320,6289,47.21471471
Hertford ,3021,2369,78.4177425,3026,2372,78.38731,2932,2033,69.33833561,2884,2033,70.49237171,2852,2838,99.50911641
Hoke ,8006,4843,60.4921309,8173,5333,65.2514377,8260,4862,58.86198547,8300,4640,55.90361446,8363,5872,70.21403802
Hyde ,565,361,63.8938053,440,328,74.5454545,418,263,62.91866029,417,263,63.06954436,405,405,100
Iredell,21199,8005,37.7612152,20838,8051,38.6361455,20711,7650,36.93689344,20575,7931,38.54678007,20209,7520,37.21114355
Jackson ,3580,1832,51.1731844,3672,1864,50.7625272,3676,1853,50.40805223,3685,1805,48.98236092,3743,2092,55.89099653
Johnston ,33195,13065,39.3583371,33654,14290,42.4615202,34019,14403,42.33810518,34452,14418,41.84952978,34840,15092,43.31802526
Jones ,1141,849,74.4084137,1099,840,76.433121,1117,689,61.68307968,1077,689,63.97400186,1103,1063,96.37352675
Lee ,9767,5749,58.8614723,9944,5969,60.0261464,9936,6022,60.6078905,9981,6315,63.27021341,9948,6388,64.21391234
Lenoir ,9155,6021,65.7673403,9119,6214,68.1434368,8962,4974,55.50100424,8846,5246,59.30364006,8646,8643,99.96530187
Lincoln ,11571,4829,41.7336445,11361,4992,43.939794,11581,4946,42.7078836,11410,4833,42.35758107,11340,4771,42.07231041
Macon ,4272,2461,57.6076779,4316,2422,56.1167748,4177,2336,55.92530524,4341,2269,52.26906243,4303,2375,55.19405066
Madison ,2565,1358,52.9434698,2508,1354,53.9872408,2434,1133,46.54889071,2374,1038,43.72367313,2295,1040,45.31590414
Martin ,3450,2238,64.8695652,3364,2374,70.5707491,3301,1963,59.46682823,3218,1965,61.06277191,3149,3080,97.8088282
McDowell ,6322,3960,62.6384056,6342,4032,63.5761589,6255,3908,62.47801759,6183,3784,61.20006469,6135,4664,76.02281989
