County,Household_Income_2012,Household_Income_2013,Household_Income_2014,Household_Income_2015,Household_Income_2016,Household_Income_2017
Alamance,"$41,519 ","$41,371 ","$41,394 ","$43,001 ","$41,300 ","$41,600 "
Alexander,"$40,441 ","$39,812 ","$39,655 ","$46,064 ","$43,000 ","$41,100 "
Alleghany,"$32,210 ","$32,673 ","$34,046 ","$37,086 ","$35,300 ","$36,100 "
Anson,"$32,268 ","$32,341 ","$32,339 ","$33,443 ","$32,500 ","$35,300 "
Ashe,"$31,965 ","$34,333 ","$34,080 ","$35,155 ","$36,500 ","$35,200 "
Avery,"$35,568 ","$36,071 ","$34,727 ","$34,933 ","$37,100 ","$37,100 "
Beaufort,"$38,194 ","$38,248 ","$38,256 ","$39,043 ","$40,400 ","$41,700 "
Bertie,"$30,586 ","$29,615 ","$30,414 ","$31,610 ","$31,200 ","$32,000 "
Bladen,"$31,637 ","$33,138 ","$32,766 ","$33,971 ","$33,500 ","$33,900 "
Brunswick,"$44,186 ","$42,685 ","$48,624 ","$47,799 ","$47,400 ","$48,800 "
Buncombe,"$42,846 ","$41,551 ","$43,146 ","$45,738 ","$47,300 ","$45,100 "
Burke,"$38,541 ","$37,719 ","$38,581 ","$36,150 ","$39,300 ","$42,700 "
Cabarrus,"$49,355 ","$50,298 ","$55,531 ","$55,046 ","$55,300 ","$57,900 "
Caldwell,"$36,860 ","$34,876 ","$35,127 ","$34,811 ","$38,700 ","$39,600 "
Camden,"$59,522 ","$57,113 ","$53,563 ","$60,537 ","$61,700 ","$62,000 "
Carteret,"$43,356 ","$45,507 ","$48,930 ","$46,227 ","$48,800 ","$50,800 "
Caswell,"$37,115 ","$38,495 ","$39,615 ","$37,122 ","$42,700 ","$40,500 "
Catawba,"$41,782 ","$44,339 ","$42,080 ","$43,777 ","$45,100 ","$41,700 "
Chatham,"$53,958 ","$53,564 ","$55,371 ","$56,981 ","$56,800 ","$58,900 "
Cherokee,"$32,963 ","$32,913 ","$31,370 ","$34,476 ","$34,600 ","$38,300 "
Chowan,"$36,176 ","$36,231 ","$37,458 ","$39,143 ","$38,900 ","$40,800 "
Clay,"$35,314 ","$35,143 ","$36,871 ","$37,078 ","$37,100 ","$39,000 "
Cleveland,"$38,392 ","$37,390 ","$38,265 ","$40,528 ","$39,400 ","$40,200 "
Columbus,"$32,518 ","$31,282 ","$33,765 ","$35,026 ","$34,300 ","$34,500 "
Craven,"$41,791 ","$47,291 ","$47,087 ","$45,022 ","$44,000 ","$47,800 "
Cumberland,"$43,356 ","$43,863 ","$45,110 ","$44,038 ","$42,600 ","$42,400 "
Currituck,"$53,939 ","$55,665 ","$54,822 ","$57,577 ","$58,000 ","$66,400 "
Dare,"$50,203 ","$50,393 ","$51,900 ","$52,083 ","$54,600 ","$53,600 "
Davidson,"$40,618 ","$41,631 ","$43,824 ","$40,424 ","$43,300 ","$46,400 "
Davie,"$46,957 ","$50,110 ","$49,984 ","$49,708 ","$47,600 ","$52,500 "
Duplin,"$34,672 ","$35,587 ","$36,075 ","$38,106 ","$34,100 ","$38,400 "
