Table 10 - Pupils in Membership by Race and Sex,,,,,,,,,,,,,,,,,
Year 2016,,,,,,,,,,,,,,,,,
Year,LEA,____LEA Name____,,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,,Total,,,,,,
2016,10,Alamance-Burlington Schools,,"2,870","2,787","2,624","2,394","5,577","5,106",,"22,777",,,,,,
2016,20,Alexander County Schools,,232,227,111,92,"2,078","1,950",,"4,984",,,,,,
2016,30,Alleghany County Schools,,147,144,7,3,550,517,,"1,405",,,,,,
2016,40,Anson County Schools,,66,70,999,976,589,572,,"3,434",,,,,,
2016,50,Ashe County Schools,,164,142,10,8,"1,386","1,340",,"3,099",,,,,,
2016,60,Avery County Schools,,112,117,3,5,921,877,,"2,090",,,,,,
2016,70,Beaufort County Schools,,544,526,"1,170","1,125","1,686","1,560",,"6,904",,,,,,
2016,80,Bertie County Schools,,32,25,968,919,177,153,,"2,327",,,,,,
2016,90,Bladen County Schools,,413,423,898,840,929,850,,"4,649",,,,,,
2016,100,Brunswick County Schools,,812,744,973,897,"4,278","4,052",,"12,485",,,,,,
2016,110,Buncombe County Schools,,"1,970","1,897",853,797,"8,994","8,559",,"24,563",,,,,,
2016,111,Asheville City Schools,,161,193,503,507,"1,377","1,329",,"4,423",,,,,,
2016,120,Burke County Schools,,870,800,346,269,"4,469","4,238",,"12,420",,,,,,
2016,130,Cabarrus County Schools,,"2,467","2,401","3,142","3,056","9,228","8,435",,"31,300",,,,,,
2016,132,Kannapolis City Schools,,776,731,739,776,995,920,,"5,322",,,,,,
2016,140,Caldwell County Schools,,612,570,319,320,"4,940","4,704",,"12,074",,,,,,
2016,150,Camden County Schools,,26,27,110,81,743,704,,"1,817",,,,,,
2016,160,Carteret County Schools,,376,332,288,261,"3,372","3,138",,"8,380",,,,,,
2016,170,Caswell County Schools,,102,87,509,491,765,645,,"2,711",,,,,,
2016,180,Catawba County Schools,,"1,282","1,187",453,438,"5,787","5,496",,"16,452",,,,,,
