County,hispanic_percent,black_percent,white_percent,other_percent,Total
Alamance,22.40278584,21.06790482,51.32371981,5.205589535,"22,399"
Alexander,7.475764355,3.784489187,83.6316182,5.108128262,"5,364"
Alleghany,18.20143885,0.575539568,79.85611511,1.366906475,"1,390"
Anson,3.178082192,57.83561644,34.2739726,4.712328767,"3,650"
Ashe,8.64390855,0.40714062,89.22643282,1.722518008,"3,193"
Avery,8.70379036,0.280767431,89.14365934,1.871782873,"2,137"
Beaufort,13.62215909,32.31534091,50.01420455,4.048295455,"7,040"
Bertie,2.028549962,81.55522164,14.65063862,1.765589782,"2,662"
Bladen,14.11079888,40.4857487,40.08430349,5.319148936,"4,982"
Brunswick,10.46370478,15.93428826,67.97766448,5.624342478,"12,357"
Buncombe,12.80932154,6.137718717,74.93472585,6.118233896,"25,661"
Burke,10.68240043,5.496467666,72.92912041,10.89201149,"12,881"
Cabarrus,13.45556557,18.49180109,61.21297131,6.839662025,"29,943"
Caldwell,8.574430257,5.697430095,80.87118151,4.856958138,"12,374"
Camden,2.505219207,12.47390397,78.96659708,6.054279749,"1,916"
Carteret,6.509988249,6.650998825,79.50646298,7.332549941,"8,510"
Caswell,5.924339757,35.83154889,54.31834404,3.925767309,"2,802"
Catawba,12.70779677,5.203699368,71.12502927,10.9634746,"17,084"
Chatham,27.92559744,12.47844297,54.71791082,4.87804878,"8,118"
Chowan,4.906333631,42.77430865,48.34968778,3.969669938,"2,242"
Cherokee,4.070112894,1.663695781,90.16636958,4.099821747,"3,366"
Clay,4.036557502,0.913937548,92.91698401,2.132520944,"1,313"
Cleveland,4.757281553,25.71521036,64.17475728,5.352750809,"15,450"
Columbus,8.266414738,31.8375059,52.41694221,7.479137144,"6,351"
Craven,8.728484931,29.03598884,53.52745085,8.708075379,"14,699"
Cumberland,11.43640118,44.71891464,33.08759673,10.75708744,"51,817"
Currituck,4.343302991,5.201560468,80.0260078,10.42912874,"3,845"
Dare,11.56421181,2.901196997,81.37553256,4.159058633,"4,929"
Davidson,6.439412789,3.075391889,87.29037074,3.194824583,"20,095"
Davie,11.91541905,5.988578484,77.41935484,4.676647631,"6,479"
Duplin,36.67698218,24.85327073,36.27147583,2.198271262,"9,371"
Durham,24.11924119,50.69598423,19.33050012,5.854274452,"32,472"
Edgecombe,8.963040551,57.80338171,31.1536735,2.079904235,"6,683"
Forsyth,21.63011173,28.83074376,43.01192581,6.52721869,"53,162"
Franklin,14.56761463,30.49332559,50.89959373,4.039466048,"8,615"
Gaston,9.519381833,20.2988233,64.6702363,5.511558562,"31,189"
Gates,1.503759398,36.09022556,58.41526894,3.990746096,"1,729"
Graham,2.682313495,0.167644593,81.47527242,15.67476949,"1,193"
Granville,12.25138284,32.50559021,50.47663881,4.766388137,"8,497"
Greene,27.93331236,38.94306386,31.7080843,1.415539478,"3,179"
Guilford,11.80497095,40.71431529,37.27522391,10.20548985,"72,461"
Halifax,2.949766355,85.57242991,4.351635514,7.126168224,"3,424"
Harnett,17.15559038,25.07468534,51.08477399,6.684950291,"20,419"
Haywood,6.542800265,0.98208361,89.10418049,3.370935634,"7,535"
Henderson,19.70684039,3.679301155,71.1578324,5.456026059,"13,508"
Hertford,2.308707124,79.41952507,16.06200528,2.209762533,"3,032"
Hoke,17.26344284,37.09856035,27.34096222,18.29703458,"8,127"
Hyde,15.27531083,27.17584369,54.52930728,3.019538188,563
Iredell,11.11007157,13.9168265,69.66833513,5.304766805,"21,377"
Jackson,9.255141745,1.278488049,77.20956087,12.25680934,"3,598"
Johnston,19.69365427,16.03369204,59.84233087,4.430322832,"33,361"
Jones,7.0995671,43.98268398,45.19480519,3.722943723,"1,155"
Lee,31.1503706,21.42349477,43.13128236,4.294852269,"9,849"
Lenoir,11.39365918,45.10127697,40.12549538,3.379568472,"9,084"
Lincoln,10.54477038,6.072008894,79.9110579,3.472162832,"11,693"
Macon,13.44345033,0.779995412,81.76187199,4.014682267,"4,359"
Madison,3.576923077,0.346153846,94.03846154,2.038461538,"2,600"
Martin,5.355600346,50.99337748,40.6852865,2.965735675,"3,473"
