County,hispanic_2013,black_2013,white_2013,other_2013,Total_2013,hispanic_2014,black_2014,white_2014,other_2014,Total_2014,hispanic_2015,black_2015,white_2015,other_2015,Total_2015,hispanic_2016,black_2016,white_2016,other_2016,Total_2016,hispanic_2017,black_2017,white_2017,other_2017,Total_2017
Alamance,22.40278584,21.06790482,51.32371981,5.205589535,22399,23.24563343,21.04355516,50.05527305,5.655538359,22615,24.08842699,21.39334155,48.57319007,5.945041395,22708,24.83645783,22.03099618,46.90257716,6.229968828,22777,26.38117896,22.57908186,44.44444444,6.595294738,22698
Alexander,7.475764355,3.784489187,83.6316182,5.108128262,5364,8.034026465,3.913043478,82.28733459,5.765595463,5290,8.478176902,4.05561993,81.63383546,5.83236771,5178,9.209470305,4.073033708,80.81861958,5.898876404,4984,9.866939611,3.930399181,80.12282497,6.079836233,4885
Alleghany,18.20143885,0.575539568,79.85611511,1.366906475,1390,20.46227056,0.747790619,76.34262407,2.447314752,1471,20.51100071,0.567778566,76.72107878,2.200141945,1409,20.71174377,0.711743772,75.9430605,2.633451957,1405,23.40585146,0.750187547,72.8432108,3.00075019,1333
Anson,3.178082192,57.83561644,34.2739726,4.712328767,3650,3.414769572,57.63464742,34.50860633,4.44197668,3602,3.857061826,56.86330119,34.79863868,4.480998298,3526,3.96039604,57.51310425,33.80896913,4.717530577,3434,5.162638019,56.43091614,32.97523127,5.431214562,3351
Ashe,8.64390855,0.40714062,89.22643282,1.722518008,3193,9.388783869,0.504095778,87.68115942,2.425960933,3174,9.160305344,0.477099237,88.67684478,1.685750636,3144,9.874152953,0.580832527,87.96385931,1.581155211,3099,11.36820926,0.60362173,85.81488934,2.213279674,2982
Avery,8.70379036,0.280767431,89.14365934,1.871782873,2137,10.06960557,0.278422274,87.00696056,2.645011601,2155,10.38899431,0.569259962,86.66982922,2.371916509,2108,10.9569378,0.38277512,86.02870813,2.631578947,2090,11.48373984,0.304878049,84.95934959,3.252032518,1968
Beaufort,13.62215909,32.31534091,50.01420455,4.048295455,7040,14.0398293,32.98719772,48.89046942,4.082503556,7030,14.80478769,32.98660587,48.1476204,4.060986036,7018,15.49826188,33.24159907,47.01622248,4.24391657,6904,16.41134537,32.21598665,46.61004095,4.762627025,6593
Bertie,2.028549962,81.55522164,14.65063862,1.765589782,2662,2.013677812,80.69908815,15.00759878,2.279635258,2632,2.218570255,81.18323747,14.79046836,1.807723911,2434,2.449505801,81.09153416,14.18134938,2.277610657,2327,2.1957914,80.7410796,14.18115279,2.881976212,2186
Bladen,14.11079888,40.4857487,40.08430349,5.319148936,4982,15.51322751,39.04761905,39.57671958,5.862433862,4725,17.08147203,38.07700489,39.09806424,5.743458839,4701,17.9823618,37.38438374,38.26629383,6.366960637,4649,18.90628652,37.06473475,37.06473475,6.964243978,4279
Brunswick,10.46370478,15.93428826,67.97766448,5.624342478,12357,11.17080994,15.53327987,67.34562951,5.950280674,12470,11.56337465,15.53778489,67.33306677,5.565773691,12505,12.46295555,14.97797357,66.72006408,5.839006808,12485,13.31001034,15.02743102,65.28583923,6.376719405,12577
