Table 10 - Pupils in Membership by Race and Sex,,,,,,,,,,,,,,,,,
Year 2015,,,,,,,,,,,,,,,,,
Year,LEA,____LEA Name____,,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,,Total,,,,,,
2015,10,Alamance-Burlington Schools,,"2,758","2,712","2,540","2,318","5,760","5,270",,"22,708",,,,,,
2015,20,Alexander County Schools,,228,211,111,99,"2,160","2,067",,"5,178",,,,,,
2015,30,Alleghany County Schools,,148,141,6,2,548,533,,"1,409",,,,,,
2015,40,Anson County Schools,,65,71,"1,004","1,001",616,611,,"3,526",,,,,,
2015,50,Ashe County Schools,,160,128,9,6,"1,406","1,382",,"3,144",,,,,,
2015,60,Avery County Schools,,109,110,4,8,924,903,,"2,108",,,,,,
2015,70,Beaufort County Schools,,521,518,"1,206","1,109","1,745","1,634",,"7,018",,,,,,
2015,80,Bertie County Schools,,27,27,"1,017",959,188,172,,"2,434",,,,,,
2015,90,Bladen County Schools,,400,403,913,877,951,887,,"4,701",,,,,,
2015,100,Brunswick County Schools,,744,702,998,945,"4,375","4,045",,"12,505",,,,,,
2015,110,Buncombe County Schools,,"1,873","1,762",857,807,"9,353","8,859",,"25,004",,,,,,
2015,111,Asheville City Schools,,151,183,522,506,"1,357","1,295",,"4,361",,,,,,
2015,120,Burke County Schools,,814,750,334,280,"4,693","4,334",,"12,612",,,,,,
2015,130,Cabarrus County Schools,,"2,304","2,238","3,025","3,005","9,299","8,562",,"30,723",,,,,,
2015,132,Kannapolis City Schools,,743,701,804,749,"1,050",993,,"5,409",,,,,,
2015,140,Caldwell County Schools,,573,546,319,333,"4,882","4,801",,"12,033",,,,,,
2015,150,Camden County Schools,,26,33,121,98,773,726,,"1,901",,,,,,
2015,160,Carteret County Schools,,344,327,301,260,"3,409","3,189",,"8,438",,,,,,
2015,170,Caswell County Schools,,94,76,525,507,798,655,,"2,755",,,,,,
2015,180,Catawba County Schools,,"1,238","1,147",463,442,"5,984","5,604",,"16,701",,,,,,
2015,181,Hickory City Schools,,502,484,486,446,"1,075",938,,"4,411",,,,,,
2015,182,Newton-Conover City Schools,,405,363,248,183,817,763,,"3,166",,,,,,
2015,190,Chatham County Schools,,"1,318","1,209",517,513,"2,227","2,161",,"8,388",,,,,,
2015,200,Cherokee County Schools,,70,76,23,29,"1,568","1,376",,"3,284",,,,,,
2015,210,Edenton-Chowan County Schools,,53,69,480,477,542,500,,"2,206",,,,,,
2015,220,Clay County Schools,,34,29,7,4,637,561,,"1,299",,,,,,
2015,230,Cleveland County Schools,,396,396,"2,022","1,979","5,027","4,545",,"15,169",,,,,,
2015,240,Columbus County Schools,,297,275,925,967,"1,629","1,537",,"6,054",,,,,,
2015,241,Whiteville City Schools,,102,108,480,462,491,459,,"2,238",,,,,,
