 County,hispanic_percent,black_percent,white_percent,other_percent,Total
Alamance,26.38117896,22.57908186,44.44444444,6.595294738,22698
Alexander,9.866939611,3.930399181,80.12282497,6.079836233,4885
Alleghany ,23.40585146,0.750187547,72.8432108,3.00075019,1333
Anson ,5.162638019,56.43091614,32.97523127,5.431214562,3351
Ashe ,11.36820926,0.60362173,85.81488934,2.213279674,2982
Avery ,11.48373984,0.304878049,84.95934959,3.252032518,1968
Beaufort,16.41134537,32.21598665,46.61004095,4.762627025,6593
Bertie ,2.1957914,80.7410796,14.18115279,2.881976212,2186
Bladen,18.90628652,37.06473475,37.06473475,6.964243978,4279
Brunswick,13.31001034,15.02743102,65.28583923,6.376719405,12577
Buncombe,16.63962052,6.740731494,70.05783714,6.561810845,24033
Burke,15.2,4.931958763,68.11546392,11.75257732,12125
Cabarrus,16.81857372,20.41199655,53.19620643,9.573223299,32476
Caldwell,10.69084629,5.284974093,78.5492228,5.474956819,11580
Camden,3.133589885,10.00549753,79.71412864,7.146783947,1819
Carteret ,8.948383985,5.993728895,77.0260492,8.031837916,8292
Caswell ,7.88365863,36.28013777,51.16724072,4.668962878,2613
Catawba ,16.07440826,5.358136086,66.64606637,11.92138928,16181
Chatham,31.53872476,11.52047451,51.07790578,5.86289495,8767
Cherokee ,6.009913259,1.858736059,85.78066914,6.350681537,3228
Chowan,6.866734486,45.11698881,44.35401831,3.662258393,1966
Clay ,8.261886204,0.857365549,88.15276695,2.727981294,1283
Cleveland,6.069542555,27.17234758,60.29078938,6.467320486,14581
Columbus,10.32714412,29.76127321,52.04244032,7.869142352,5655
Craven,10.64767963,27.88781264,50.73731386,10.72719387,13834
Cumberland,13.46768395,45.09467125,29.07046417,12.36718063,50068
Currituck,5.875031118,4.680109534,80.38337067,9.061488673,4017
Dare ,16.11337604,2.174335081,76.06290041,5.649388472,5151
Davidson,9.42951438,3.646078894,82.59206873,4.332337996,19089
