County,Math_2011,CR_2011,Writing_2011,Total_2011,Math_2012,CR_2012,Writing_2012,Total_2012,Math_2013,CR_2013,Writing_2013,Total_2013,Math_2014,CR_2014,Writing_2014,Total_2014,Math_2015,CR_2015,Writing_2015,Total_2015,Math_2016,CR_2016,Writing_2016,total_2016,ERW_2017,Math_2017,Total_2017
 Alamance,499,467,452,1418,495,472,448,1415,490,469,455,1414,488,476,454,1418,486,473,450,1409,488,473,445,1406,520,521,1041
 Alexander ,488,467,444,1399,513,479,456,1448,485,465,445,1395,506,477,456,1439,501,483,460,1444,484,480,449,1413,533,518,1051
 Alleghany ,490,481,450,1421,510,469,440,1419,489,472,457,1418,482,477,445,1404,490,480,445,1415,425,445,419,1289,466,449,915
 Anson ,436,427,407,1270,433,430,406,1269,419,423,409,1251,407,412,391,1210,413,413,390,1216,407,406,381,1194,436,436,872
 Ashe ,522,483,466,1471,531,494,481,1506,509,475,464,1448,512,484,461,1457,509,471,472,1452,489,510,450,1449,566,527,1094
 Avery ,502,509,468,1479,504,495,477,1476,504,523,499,1526,482,482,451,1415,491,508,466,1465,469,473,438,1380,0,0,0
 Beaufort ,485,457,427,1369,461,443,422,1326,477,463,441,1381,475,463,433,1371,469,454,425,1348,442,440,410,1292,493,481,974
 Bertie ,410,387,364,1161,421,383,379,1183,404,394,380,1178,466,458,427,1351,466,450,422,1338,447,422,411,1280,490,489,978
 Bladen ,454,411,399,1264,452,436,411,1299,440,425,400,1265,429,396,393,1218,442,414,415,1271,488,476,441,1405,541,524,1066
 Brunswick ,489,475,460,1424,497,480,462,1439,486,482,466,1434,428,428,399,1255,412,416,390,1218,525,498,470,1493,553,524,1078
 Buncombe ,536,519,492,1547,533,516,489,1538,530,523,502,1555,476,461,442,1379,500,480,470,1450,540,562,544,1646,0,0,0
 Burke ,514,476,456,1446,516,486,468,1470,513,493,479,1485,551,591,577,1719,553,554,532,1639,485,454,423,1362,547,544,1090
 Cabarrus ,522,497,483,1502,524,499,479,1502,518,499,481,1498,521,495,477,1493,552,527,507,1586,511,512,488,1511,544,540,1084
 Caldwell ,505,477,459,1441,501,480,454,1435,505,495,474,1474,497,498,471,1466,468,467,440,1375,480,480,441,1401,558,553,1110
 Camden ,479,480,451,1410,506,493,469,1468,480,481,463,1424,456,433,407,1296,452,450,430,1332,544,537,507,1588,596,586,1182
 Carteret ,527,519,489,1535,532,514,492,1538,529,517,495,1541,421,501,451,1373,497,516,476,1489,547,539,506,1592,575,559,1134
 Caswell ,452,437,424,1313,462,445,436,1343,469,459,441,1369,448,461,423,1332,459,455,422,1336,479,464,434,1377,510,521,1030
 Catawba ,518,490,461,1469,519,490,465,1474,507,483,463,1453,515,491,464,1470,507,490,462,1459,523,511,466,1500,556,551,1107
 Chatham ,494,478,461,1433,495,483,466,1444,503,483,468,1454,498,483,467,1448,481,474,457,1412,476,469,433,1378,560,543,1103
 Cherokee  ,484,484,463,1431,507,491,466,1464,508,489,472,1469,481,472,431,1384,466,450,407,1323,530,546,507,1583,502,480,982
Chowan ,457,439,429,1325,487,463,452,1402,455,423,413,1291,457,442,416,1315,446,436,413,1295,512,492,448,1452,550,538,1088
 Clay ,524,494,492,1510,527,514,485,1526,520,501,490,1511,527,497,479,1503,513,504,496,1513,441,431,408,1280,0,0,0
 Cleveland ,500,470,451,1421,500,478,446,1424,498,475,451,1424,463,455,440,1358,447,456,430,1333,461,439,424,1324,533,508,1040
 Columbus ,467,440,427,1334,455,437,428,1320,436,417,408,1261,425,421,412,1258,417,392,378,1187,0,0,0,0,529,505,1033
 Craven ,507,489,452,1448,500,485,448,1433,500,479,452,1431,0,0,0,0,0,0,0,0,403,425,377,1205,524,495,1020
 Cumberland ,476,469,445,1390,473,467,443,1383,461,464,442,1367,465,467,441,1373,462,468,443,1373,426,429,399,1254,560,506,1066
 Currituck ,511,494,466,1471,502,488,450,1440,504,490,460,1454,511,513,471,1495,496,486,473,1455,505,495,464,1464,552,547,1099
 Dare ,520,500,475,1495,522,489,470,1481,523,501,480,1504,489,498,466,1453,512,517,486,1515,0,0,0,0,525,521,1046
 Davidson ,510,488,463,1461,516,497,473,1486,511,495,477,1483,537,518,492,1547,530,518,491,1539,476,455,438,1369,0,0,0
 Davie ,523,508,481,1512,531,510,487,1528,526,515,497,1538,422,393,380,1195,405,404,375,1184,404,396,372,1172,562,550,1112
 Duplin ,462,447,435,1344,461,440,424,1325,457,429,419,1305,519,513,501,1533,529,512,476,1517,467,474,446,1387,541,521,1061
 Durham ,476,475,452,1403,477,474,448,1399,484,481,461,1426,429,401,392,1222,438,418,412,1268,418,421,385,1224,526,555,1081
 Edgecombe ,468,437,420,1325,442,434,423,1299,432,419,405,1256,448,464,439,1351,478,479,460,1417,495,494,454,1443,466,480,945
 Forsyth ,506,493,472,1471,511,495,473,1479,505,495,478,1478,425,408,397,1230,446,443,414,1303,0,0,0,0,423,427,850
 Franklin ,487,471,453,1411,490,469,447,1406,496,485,473,1454,528,523,495,1546,524,516,485,1525,502,488,453,1443,531,522,1054
 Gaston ,495,480,455,1430,494,483,452,1429,492,477,455,1424,476,468,438,1382,487,479,454,1420,493,474,437,1404,589,553,1142
 Gates ,476,458,424,1358,478,447,424,1349,478,472,444,1394,520,511,483,1514,546,519,485,1550,476,465,419,1360,535,514,1049
 Graham ,511,476,470,1457,480,469,468,1417,472,471,446,1389,481,461,434,1376,467,474,440,1381,411,397,359,1167,536,524,1060
 Granville ,478,458,446,1382,492,479,455,1426,481,461,446,1388,458,516,447,1421,538,534,512,1584,493,489,464,1446,485,476,961
 Greene  ,433,419,392,1244,443,438,413,1294,431,439,429,1299,529,498,472,1499,510,484,470,1464,545,541,521,1607,532,524,1056
 Guilford ,493,484,468,1445,488,476,460,1424,488,481,464,1433,472,469,456,1397,480,475,438,1393,473,483,419,1375,462,445,907
 Halifax ,399,390,386,1175,410,384,376,1170,391,377,379,1147,446,439,415,1300,457,454,424,1335,503,496,468,1467,466,443,909
 Harnett ,472,461,440,1373,476,474,447,1397,466,467,446,1379,381,383,371,1135,394,396,381,1171,513,506,474,1493,519,503,1022
 Haywood ,535,511,494,1540,505,480,461,1446,510,493,469,1472,410,398,385,1193,418,417,389,1224,516,510,470,1496,0,0,0
 Henderson ,522,518,492,1532,529,513,488,1530,513,510,491,1514,463,469,452,1384,457,473,457,1387,465,463,420,1348,548,551,1098
